Name,RowId,Description
"",0,""
"Gil",1,"Standard Eorzean currency."
"Fire Shard",2,"A tiny crystalline manifestation of aetheric fire energy."
"Ice Shard",3,"A tiny crystalline manifestation of aetheric ice energy."
"Wind Shard",4,"A tiny crystalline manifestation of aetheric wind energy."
"Earth Shard",5,"A tiny crystalline manifestation of aetheric earth energy."
"Lightning Shard",6,"A tiny crystalline manifestation of aetheric lightning energy."
"Water Shard",7,"A tiny crystalline manifestation of aetheric water energy."
"Fire Crystal",8,"A crystalline manifestation of aetheric fire energy."
"Ice Crystal",9,"A crystalline manifestation of aetheric ice energy."
"Wind Crystal",10,"A crystalline manifestation of aetheric wind energy."
"Earth Crystal",11,"A crystalline manifestation of aetheric earth energy."
"Lightning Crystal",12,"A crystalline manifestation of aetheric lightning energy."
"Water Crystal",13,"A crystalline manifestation of aetheric water energy."
"Fire Cluster",14,"A large crystalline manifestation of aetheric fire energy."
"Ice Cluster",15,"A large crystalline manifestation of aetheric ice energy."
"Wind Cluster",16,"A large crystalline manifestation of aetheric wind energy."
"Earth Cluster",17,"A large crystalline manifestation of aetheric earth energy."
"Lightning Cluster",18,"A large crystalline manifestation of aetheric lightning energy."
"Water Cluster",19,"A large crystalline manifestation of aetheric water energy."
"Storm Seal",20,"Grand Company currency printed and distributed by the Maelstrom."
"Serpent Seal",21,"Grand Company currency printed and distributed by the Order of the Twin Adder."
"Flame Seal",22,"Grand Company currency printed and distributed by the Immortal Flames."
"Allagan Tomestone of Philosophy",23,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire."
"Allagan Tomestone of Mythology",24,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire."
"Wolf Mark",25,"Currency printed and distributed by the Alliance."
"Allagan Tomestone of Soldiery",26,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire."
"Allied Seal",27,"Yet another currency printed and distributed by the Eorzean Alliance. Rewarded for slaying marks specified in the Hunt."
"Allagan Tomestone of Poetics",28,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire."
"MGP",29,"Official currency of the Manderville Gold Saucer. Redeemable only on Manderville property."
"Allagan Tomestone of Law",30,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire."
"Allagan Tomestone of Esoterics",31,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire."
"Allagan Tomestone of Lore",32,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire."
"Allagan Tomestone of Scripture",33,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire."
"Allagan Tomestone of Verity",34,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire."
"Allagan Tomestone of Creation",35,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire."
"Allagan Tomestone of Mendacity",36,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information on untruths gathered by the lost Allagan Empire."
"Allagan Tomestone of Genesis",37,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information on creation gathered by the lost Allagan Empire."
"Allagan Tomestone of Goetia",38,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information on demonology gathered by the lost Allagan Empire."
"Allagan Tomestone of Phantasmagoria",39,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information on the fantastic gathered by the lost Allagan Empire."
"Allagan Tomestone of Allegory",40,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information on allegories gathered by the lost Allagan Empire."
"Allagan Tomestone of Revelation",41,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information on allegories gathered by the lost Allagan Empire."
"Allagan Tomestone of Aphorism",42,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable principles gathered by the lost Allagan Empire."
"Allagan Tomestone of Astronomy",43,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information on the sea of stars gathered by the lost Allagan Empire."
"Allagan Tomestone of Causality",44,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information on the nature of cause and effect gathered by the lost Allagan Empire."
"Allagan Tomestone of Comedy",45,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of uplifting narrative poetry gathered by the lost Allagan Empire."
"Allagan Tomestone of Aesthetics",46,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information on the nature of beauty gathered by the lost Allagan Empire."
"Allagan Tomestone of Heliometry",47,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information on solar measurements gathered by the lost Allagan Empire."
